"airport","display_airport_name","display_city_market_name_full","airport_country_name","latitude","longitude","utc_local_time_variation","airport_is_latest"
"ABE","Lehigh Valley International","Allentown/Bethlehem/Easton, PA","United States","40.65166667","-75.44277778","-0500","1"
"ABI","Abilene Regional","Abilene, TX","United States","32.40833333","-99.68250000","-0600","1"
"ABQ","Albuquerque International Sunport","Albuquerque, NM","United States","35.03805556","-106.61000000","-0700","1"
"ABR","Aberdeen Regional","Aberdeen, SD","United States","45.44666667","-98.42305556","-0600","1"
"ABY","Southwest Georgia Regional","Albany, GA","United States","31.53555556","-84.19444444","-0500","1"
"ACK","Nantucket Memorial","Nantucket, MA","United States","41.25333333","-70.06055556","-0500","1"
"ACT","Waco Regional","Waco, TX","United States","31.60416667","-97.22972222","-0600","1"
"ACV","California Redwood Coast Humboldt County","Eureka/Arcata, CA","United States","40.97777778","-124.10833333","-0800","1"
"ACY","Atlantic City International","Atlantic City, NJ","United States","39.45916667","-74.57861111","-0500","1"
"ADK","Adak","Adak Island, AK","United States","51.88361111","-176.64250000","-1000","1"
"ADQ","Kodiak Airport","Kodiak, AK","United States","57.74972222","-152.49388889","-0900","1"
"AEX","Alexandria International","Alexandria, LA","United States","31.32333333","-92.54694444","-0600","1"
"AGS","Augusta Regional at Bush Field","Augusta, GA","United States","33.37000000","-81.96444444","-0500","1"
"AKN","King Salmon Airport","King Salmon, AK","United States","58.67805556","-156.65194444","-0900","1"
"ALB","Albany International","Albany, NY","United States","42.74916667","-73.80472222","-0500","1"
"ALO","Waterloo Regional","Waterloo, IA","United States","42.56055556","-92.40250000","-0600","1"
"ALW","Walla Walla Regional","Walla Walla, WA","United States","46.09250000","-118.28416667","-0800","1"
"AMA","Rick Husband Amarillo International","Amarillo, TX","United States","35.23166667","-101.69916667","-0600","1"
